Parameter   ,FoldChange ,ViralCycleTime      ,DidNotComplete
k_RdRp_Step ,     0.01  ,29.269201678570106  ,False
k_RdRp_Step ,     0.03  ,18.559321981078035  ,False
k_RdRp_Step ,     0.1   ,12.115582581204743  ,False
k_RdRp_Step ,     0.3   , 8.597476409414373  ,False
k_RdRp_Step ,     1     , 6.269962389165436  ,False
k_RdRp_Step ,     3     , 5.028639885805024  ,False
k_RdRp_Step ,    10     , 4.255687390490832  ,False
k_RdRp_Step ,    30     , 3.8974360480179646 ,False
k_RdRp_Step ,   100     , 3.7198284363542276 ,False
k_RdRp_Step ,   300     , 3.6536313047921816 ,False
k_RdRp_Step ,  1000     , 3.6253148428619335 ,False
k_NCap      ,     0.001 , 8.400491422747555  ,False
k_NCap      ,     0.003 , 7.216626240177573  ,False
k_NCap      ,     0.01  , 6.566367080521334  ,False
k_NCap      ,     0.03  , 6.341045634873898  ,False
k_NCap      ,     0.1   , 6.286275531328658  ,False
k_NCap      ,     0.3   , 6.2743359887030365 ,False
k_NCap      ,     1     , 6.269962389165436  ,False
k_NCap      ,     3     , 6.26844032655402   ,False
k_NCap      ,    10     , 6.2677105623474985 ,False
k_NCap      ,    30     , 6.267337400929907  ,False
k_NCap      ,   100     , 6.266994126334916  ,False
k_NCap      ,   300     , 6.266722076113071  ,False
k_NCap      ,  1000     , 6.266824987339371  ,False
k_Bud       ,     0.001 , 9.418196246049387  ,False
k_Bud       ,     0.003 , 8.102013171972196  ,False
k_Bud       ,     0.01  , 7.2273144749000275 ,False
k_Bud       ,     0.03  , 6.766016241485709  ,False
k_Bud       ,     0.1   , 6.483071228451473  ,False
k_Bud       ,     0.3   , 6.344977225653894  ,False
k_Bud       ,     1     , 6.269962389165436  ,False
k_Bud       ,     3     , 6.2405843318761525 ,False
k_Bud       ,    10     , 6.228497023129379  ,False
k_Bud       ,    30     , 6.224781973724492  ,False
k_Bud       ,   100     , 6.223442482461048  ,False
k_Bud       ,   300     , 6.223053173192242  ,False
k_Bud       ,  1000     , 6.22291521121866   ,False
h_SP        ,     0.001 ,48.0                ,True
h_SP        ,     0.003 ,48.0                ,True
h_SP        ,     0.01  ,48.0                ,True
h_SP        ,     0.03  ,20.105084135061812  ,False
h_SP        ,     0.1   , 9.601316368323516  ,False
h_SP        ,     0.3   , 7.069023189553803  ,False
h_SP        ,     1     , 6.269962389165436  ,False
h_SP        ,     3     , 6.1045186224726935 ,False
h_SP        ,    10     , 6.0696938823187    ,False
h_SP        ,    30     , 6.061449261535933  ,False
h_SP        ,   100     , 6.0587060607836225 ,False
h_SP        ,   300     , 6.057934907810101  ,False
h_SP        ,  1000     , 6.057666297412868  ,False
k_Cyto_ER   ,     0.001 ,48.0                ,True
k_Cyto_ER   ,     0.003 ,48.0                ,True
k_Cyto_ER   ,     0.01  ,48.0                ,True
k_Cyto_ER   ,     0.03  ,20.711278934273587  ,False
k_Cyto_ER   ,     0.1   ,10.031647892955688  ,False
k_Cyto_ER   ,     0.3   , 7.2629379534108045 ,False
k_Cyto_ER   ,     1     , 6.269962389165436  ,False
k_Cyto_ER   ,     3     , 6.07901124733149   ,False
k_Cyto_ER   ,    10     , 6.053056635813577  ,False
k_Cyto_ER   ,    30     , 6.047816466268033  ,False
k_Cyto_ER   ,   100     , 6.046151275538362  ,False
k_Cyto_ER   ,   300     , 6.045690268064983  ,False
k_Cyto_ER   ,  1000     , 6.04553042223017   ,False
k_ER_ERGIC  ,     0.001 ,31.720219475705598  ,False
k_ER_ERGIC  ,     0.003 ,19.82604901289717   ,False
k_ER_ERGIC  ,     0.01  ,12.73767031486422   ,False
k_ER_ERGIC  ,     0.03  , 9.299677919333782  ,False
k_ER_ERGIC  ,     0.1   , 7.354239965527666  ,False
k_ER_ERGIC  ,     0.3   , 6.563534822480963  ,False
k_ER_ERGIC  ,     1     , 6.269962389165436  ,False
k_ER_ERGIC  ,     3     , 6.195510892618606  ,False
k_ER_ERGIC  ,    10     , 6.17201611689872   ,False
k_ER_ERGIC  ,    30     , 6.165622420451779  ,False
k_ER_ERGIC  ,   100     , 6.163420913994052  ,False
k_ER_ERGIC  ,   300     , 6.162795440742592  ,False
k_ER_ERGIC  ,  1000     , 6.16257689800868   ,False
k_Exo       ,     0.001 ,48.0                ,True
k_Exo       ,     0.003 ,48.0                ,True
k_Exo       ,     0.01  ,30.56013938559756   ,False
k_Exo       ,     0.03  ,18.677114529767397  ,False
k_Exo       ,     0.1   ,11.607693097665639  ,False
k_Exo       ,     0.3   , 8.196095940213727  ,False
k_Exo       ,     1     , 6.269962389165436  ,False
k_Exo       ,     3     , 5.458841474985316  ,False
k_Exo       ,    10     , 5.1322971348705    ,False
k_Exo       ,    30     , 5.038991756568394  ,False
k_Exo       ,   100     , 5.006500205845735  ,False
k_Exo       ,   300     , 4.9972335084921164 ,False
k_Exo       ,  1000     , 4.993991920675822  ,False
