Parameter   ,FoldChange ,ViralCycleTime       ,DidNotComplete
k_RdRp_Step ,     0.003 ,30.0                 ,True
k_RdRp_Step ,     0.01  ,29.2692027942303     ,False
k_RdRp_Step ,     0.03  ,18.559323075881842   ,False
k_RdRp_Step ,     0.1   ,12.115583667961609   ,False
k_RdRp_Step ,     0.3   , 8.59747749007558    ,False
k_RdRp_Step ,     1     , 6.2699634665166535  ,False
k_RdRp_Step ,     3     , 5.02864096343519    ,False
k_RdRp_Step ,    10     , 4.25568648310855    ,False
k_RdRp_Step ,    30     , 3.897434758552215   ,False
k_RdRp_Step ,   100     , 3.7198270796427173  ,False
k_RdRp_Step ,   300     , 3.653629932292913   ,False
k_RdRp_Step ,  1000     , 3.6253134648959167  ,False
k_NCap      ,     0.001 , 8.400492502837004   ,False
k_NCap      ,     0.003 , 7.21662732004768    ,False
k_NCap      ,     0.01  , 6.566368159926942   ,False
k_NCap      ,     0.03  , 6.3410467131830615  ,False
k_NCap      ,     0.1   , 6.286276608924821   ,False
k_NCap      ,     0.3   , 6.274337066122893   ,False
k_NCap      ,     1     , 6.2699634665166535  ,False
k_NCap      ,     3     , 6.268441403880024   ,False
k_NCap      ,    10     , 6.267711639661981   ,False
k_NCap      ,    30     , 6.267338478245953   ,False
k_NCap      ,   100     , 6.26699520372121    ,False
k_NCap      ,   300     , 6.266723153530651   ,False
k_NCap      ,  1000     , 6.266826061708949   ,False
k_Bud       ,     0.001 , 9.41819732378913    ,False
k_Bud       ,     0.003 , 8.10201424981289    ,False
k_Bud       ,     0.01  , 7.227315552783162   ,False
k_Bud       ,     0.03  , 6.7660173193394035  ,False
k_Bud       ,     0.1   , 6.48307230619504    ,False
k_Bud       ,     0.3   , 6.344978303227522   ,False
k_Bud       ,     1     , 6.2699634665166535  ,False
k_Bud       ,     3     , 6.240585409067065   ,False
k_Bud       ,    10     , 6.228498100228279   ,False
k_Bud       ,    30     , 6.22478305078974    ,False
k_Bud       ,   100     , 6.223443559513118   ,False
k_Bud       ,   300     , 6.223054250240299   ,False
k_Bud       ,  1000     , 6.222916288265282   ,False
